epoch	test_success_rate	ep_return	test_ep_return	ep_length	test_ep_length	total_timesteps	loss_pi	loss_q	time_elapsed	iteration_time
190	0.1	0.0	0.1	71.28571	61.6	189999	-3.7161903	0.2697837	14921.635998	0.05284176
191	0.1	0.0	0.1	80.166664	51.7	190999	-3.7744174	0.22778241	14993.6585739	0.054440834
192	0.0	0.0	0.0	83.416664	33.9	191999	-3.6366544	0.18592916	15059.83233	0.055224467
193	0.2	0.0	0.2	56.833332	22.8	192999	-3.3811386	0.15970136	15122.305804	0.05500822
194	0.1	0.13636364	0.1	45.772728	42.2	193999	-3.083175	0.14272596	15185.4301159	0.051159844
195	0.0	0.0	0.0	50.05	52.4	194999	-2.804271	0.13016169	15250.666826	0.049896736
196	0.0	0.14285715	0.0	49.809525	14.4	195999	-2.565472	0.12132779	15305.229955	0.049852554
197	0.1	0.05	0.1	49.95	51.7	196999	-2.360817	0.120747834	15367.741333	0.048741344
198	0.1	0.0	0.1	55.35294	80.5	197999	-2.1783936	0.1127733	15435.5692298	0.046794783
199	0.0	0.0	0.0	70.78571	61.9	198999	-2.026393	0.10947901	15498.8675029	0.046459705
200	0.0	0.0	0.0	57.5	34.0	199999	-1.8962729	0.10768519	15558.029408	0.049530815
201	0.0	0.08695652	0.0	43.782608	35.1	200999	-1.8170657	0.10508022	15620.485846	0.051937103
202	0.1	0.037037037	0.1	37.51852	44.7	201999	-1.7592273	0.10528905	15684.287725	0.05084666
203	0.0	0.06666667	0.0	66.46667	61.6	202999	-1.7363616	0.10533267	15753.0735409	0.05034389
204	0.0	0.0	0.0	56.64706	71.2	203999	-1.7111522	0.102589756	15823.6481478	0.049803708
205	0.0	0.0	0.0	96.8	42.5	204999	-1.6666511	0.10318356	15887.156985	0.049325064
206	0.0	0.0	0.0	91.27273	61.7	205999	-1.6434205	0.099042706	15957.0811679	0.051955752
207	0.2	0.0	0.2	84.083336	51.6	206999	-1.6188709	0.098611526	16025.446368	0.05313497
208	0.0	0.1875	0.0	62.9375	43.0	207999	-1.5793034	0.09716692	16094.2881398	0.055189732
209	0.1	0.0	0.1	71.21429	80.5	208999	-1.5578455	0.095654204	16173.0310218	0.055383813
210	0.1	0.11764706	0.1	59.411766	71.1	209999	-1.5492209	0.09533153	16246.4063749	0.052774657
211	0.1	0.06666667	0.1	66.066666	55.8	210999	-1.5425326	0.09449413	16314.1734579	0.050444223
212	0.0	0.21428572	0.0	70.71429	81.3	211999	-1.5505068	0.094432525	16391.2403159	0.052276194
213	0.1	0.0	0.1	90.63636	74.6	212999	-1.5749555	0.09415886	16462.7902548	0.05073087
214	0.0	0.09090909	0.0	90.90909	100.0	213999	-1.5890794	0.092192166	16539.282742	0.049089182
215	0.0	0.21428572	0.0	74.0	100.0	214999	-1.6148306	0.091308855	16618.463376	0.049516343
216	0.0	0.0	0.0	82.166664	100.0	215999	-1.6321706	0.09073	16698.1561499	0.049181268
217	0.1	0.083333336	0.1	82.166664	90.1	216999	-1.6451623	0.08802654	16775.3720629	0.050290015
218	0.2	0.0	0.2	98.7	78.0	217999	-1.6674348	0.0868638	16850.762625	0.05069774
219	0.0	0.0	0.0	78.07692	90.6	218999	-1.7000318	0.08559811	16928.040204	0.05112377
220	0.1	0.14285715	0.1	71.42857	63.8	219999	-1.7361377	0.08594248	16997.5154979	0.05073844
221	0.1	0.16666667	0.1	82.166664	80.8	220999	-1.7564154	0.08318974	17072.010011	0.05048545
222	0.2	0.16666667	0.2	83.416664	80.2	221999	-1.7671218	0.08442262	17146.1624351	0.049552005
223	0.1	0.0	0.1	80.53846	90.1	222999	-1.7790914	0.08497359	17221.1458828	0.050001252
224	0.1	0.16666667	0.1	79.416664	90.1	223999	-1.7928348	0.08246259	17300.0242689	0.05126985
225	0.0	0.0	0.0	99.27273	100.0	224999	-1.800692	0.083064206	17379.7737169	0.051311072
226	0.0	0.0	0.0	90.6	100.0	225999	-1.8110801	0.08365569	17457.2784669	0.049399216
227	0.0	0.09090909	0.0	91.0	100.0	226999	-1.8324289	0.08398832	17537.9352019	0.05236601
228	0.0	0.0	0.0	99.9	100.0	227999	-1.8623794	0.08419554	17618.023387	0.051119193
229	0.0	0.0	0.0	100.0	80.8	228999	-1.893024	0.08462367	17691.795615	0.051374488
230	0.1	0.13333334	0.1	69.4	74.6	229999	-1.9322104	0.087594196	17765.8545969	0.050383963
231	0.1	0.0	0.1	80.833336	70.9	230999	-1.9842235	0.09000472	17839.6066599	0.051051658
232	0.0	0.083333336	0.0	82.833336	79.9	231999	-2.0275776	0.08918561	17917.553952	0.053083703
233	0.0	0.071428575	0.0	72.0	80.9	232999	-2.0514696	0.09045457	17997.7275028	0.053462643
234	0.1	0.0	0.1	98.7	80.6	233999	-2.077596	0.0938416	18075.9773519	0.050692886
235	0.0	0.071428575	0.0	72.5	80.8	234999	-2.1183608	0.09865101	18158.447978	0.0528734
236	0.0	0.0	0.0	76.69231	73.3	235999	-2.1925147	0.10430582	18248.90675	0.060800035
