Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	300.0	779999	44665814000000.0	7759231000000.0	126445010000000.0	146687.19	7728939000000.0	4675229000000.0	47848510000000.0	122494.29	127452.555	36063.125	540082.06	44990.0	-7119355000000.0	1.5299164e+27	67942.38479351997
53	0.03846154	0.19230767	1.0	0.0	0.0	0.0	0.0	0.0	288.5	300.0	794999	44709406000000.0	7767218700000.0	126443170000000.0	133903.2	7703159000000.0	4652424000000.0	47814915000000.0	79362.53	76288.61	15220.898	1274368.9	25054.01	-7096314600000.0	1.535607e+27	68926.25331950188
54	0.056603774	0.23108393	1.0	0.0	0.0	0.0	0.0	0.0	283.07547	300.0	809999	45087346000000.0	7914229600000.0	126441420000000.0	122109.84	7517590000000.0	4680305300000.0	47771390000000.0	90384.75	105459.2	20760.814	1216367.4	26609.285	-6923709000000.0	1.582186e+27	69909.80887031555
55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	300.0	824999	45633935000000.0	8349572000000.0	151319080000000.0	110404.164	7279335700000.0	4726618000000.0	47718303000000.0	100095.95	160598.16	32042.602	837889.8	28992.648	-6705451600000.0	1.6501426e+27	70890.12760615349
56	0.03846154	0.19230767	1.0	0.0	0.0	0.0	0.0	0.0	288.5	300.0	839999	46202867000000.0	8538777000000.0	162383420000000.0	98111.68	7039359600000.0	4739652600000.0	47700255000000.0	187496.5	178846.78	25433.89	719475.5	46458.61	-6463038000000.0	1.7195655e+27	71877.7616610527
57	0.03846154	0.19230768	1.0	0.0	0.0	0.0	0.0	0.0	288.5	300.0	854999	46988820000000.0	8915980000000.0	162382810000000.0	87552.1	6870758000000.0	4722373700000.0	47672080000000.0	159575.19	198968.16	27684.291	843981.94	45830.4	-6278584700000.0	1.8053771e+27	72864.88136339188
58	0.019607844	0.13864839	1.0	0.0	0.0	0.0	0.0	0.0	294.13727	300.0	869999	47606164000000.0	9020803000000.0	162375990000000.0	73558.125	6649989300000.0	4710855600000.0	47638066000000.0	2986288.5	190290.39	34590.625	589258.9	34893.95	-6141386400000.0	1.869568e+27	73846.80663466454
59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	290.96155	300.0	884999	48142993000000.0	9082418000000.0	162369040000000.0	61898.07	6410316000000.0	4704655000000.0	47619110000000.0	4601016.5	177460.42	34947.758	891626.56	47486.105	-5912422000000.0	1.9351628e+27	74833.0655400753
60	0.03846154	0.19230767	1.0	0.0	0.1	0.29999998	1.0	0.0	288.5	270.1	899999	48599052000000.0	9039413000000.0	162363120000000.0	49912.523	6324284300000.0	4707940600000.0	43370890000000.0	6678071.5	161499.33	32417.398	1078914.9	46015.918	-5815545600000.0	1.9812782e+27	75813.64724588394
61	0.03846154	0.19230768	1.0	0.0	0.0	0.0	0.0	0.0	288.5	300.0	914999	49038167000000.0	8980835000000.0	162357250000000.0	38231.285	6243515600000.0	4701432000000.0	43273096000000.0	9335115.0	148644.67	27404.47	395930.8	48594.38	-5761907300000.0	2.022503e+27	76796.92657184601
62	0.019607844	0.13864839	1.0	0.0	0.0	0.0	0.0	0.0	294.13727	300.0	929999	49594356000000.0	8898938000000.0	162351480000000.0	32725.906	6000102300000.0	4671760000000.0	43175746000000.0	12828751.0	132303.42	23776.594	415302.47	46299.637	-5534855500000.0	2.08864e+27	77780.53042149544
63	0.056603774	0.23108391	1.0	0.0	0.0	0.0	0.0	0.0	283.07547	300.0	944999	50106162000000.0	8803757000000.0	162345370000000.0	33392.035	5753266000000.0	4633705600000.0	43073800000000.0	17257688.0	135313.44	27380.773	396181.06	27600.852	-5294527000000.0	2.1527246e+27	78763.69867897034
64	0.056603774	0.23108391	1.0	0.0	0.0	0.0	0.0	0.0	283.07547	300.0	959999	50615090000000.0	8691983000000.0	162338520000000.0	34348.484	5507284000000.0	4580491400000.0	44347390000000.0	23684372.0	196739.83	36063.95	527725.75	31856.902	-5017577000000.0	2.2198174e+27	79741.30288600922
65	0.04950495	0.21691985	1.0	0.0	0.0	0.0	0.0	0.0	148.64357	44.9	974999	50246265000000.0	9731582000000.0	162333570000000.0	34900.953	5193851700000.0	4624347000000.0	45321158000000.0	30293162.0	162291.86	32537.662	686874.25	62673.18	-3120846900000.0	2.3752146e+27	80736.3972249031
66	0.056603774	0.23108393	1.0	0.0	0.0	0.0	0.0	0.0	140.37737	300.0	989999	48122097000000.0	13455764000000.0	162327010000000.0	33973.105	5158341700000.0	4793546000000.0	45285550000000.0	37535336.0	163342.23	32637.086	636617.25	43951.555	-3699178000000.0	2.239485e+27	81809.08816051483
67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	300.0	1004999	47545934000000.0	13509381000000.0	162321680000000.0	380170.1	5310836600000.0	4838738000000.0	45254940000000.0	48853170.0	157688.06	34993.152	403697.2	44498.043	-5103174500000.0	2.0741338e+27	82773.90994238853
68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	300.0	1019999	47395360000000.0	13319300000000.0	162315570000000.0	2659334.8	5289160000000.0	4847824000000.0	45370516000000.0	60986610.0	142013.5	25376.154	374712.5	44591.47	-4734669300000.0	2.0842573e+27	83838.48647451401
69	0.019607844	0.13864838	1.0	0.0	0.1	0.29999998	1.0	0.0	294.13727	270.1	1034999	46533177000000.0	13521450000000.0	162309600000000.0	5432331.0	5150074000000.0	4972298600000.0	48497360000000.0	74050220.0	148819.47	27954.994	627912.3	42859.42	-4797695500000.0	2.0102618e+27	84769.75615954399
70	0.019607844	0.13864839	1.0	0.0	0.0	0.0	0.0	0.0	294.13727	300.0	1049999	45141700000000.0	13730111000000.0	162303980000000.0	15803375.0	4885580000000.0	5169364000000.0	48455293000000.0	95583900.0	138096.1	31621.002	392447.6	44517.18	-4836854600000.0	1.8913169e+27	85725.35867094994
71	0.056603774	0.23108391	1.0	0.0	0.0	0.0	0.0	0.0	283.07547	300.0	1064999	44884233000000.0	13579211000000.0	118636240000000.0	22271316.0	4809470000000.0	5187726000000.0	48425643000000.0	114201060.0	137451.11	24950.629	402746.34	42243.125	-4832823300000.0	1.8672069e+27	86711.30420660973
72	0.03846154	0.19230768	1.0	0.0	0.0	0.0	0.0	0.0	288.5	300.0	1079999	45003653000000.0	13642775000000.0	199190150000000.0	30627764.0	4842542000000.0	5191447300000.0	48372673000000.0	133992830.0	160842.88	31644.115	394814.84	48394.996	-4812496000000.0	1.8804574e+27	87693.19981503487
73	0.018518519	0.13481687	1.0	0.0	0.0	0.0	0.0	0.0	278.5	300.0	1094999	48386426000000.0	22320242000000.0	203944780000000.0	40910944.0	5322583300000.0	5799785500000.0	48339916000000.0	155831060.0	164297.06	32149.45	689618.94	55991.99	-4381366000000.0	2.4384888e+27	88677.50344800949
74	0.074074075	0.2618914	1.0	0.0	0.0	0.0	0.0	0.0	277.85184	300.0	1109999	53825793000000.0	30787557000000.0	203940450000000.0	49786076.0	5938263600000.0	6550819000000.0	48290100000000.0	170451060.0	185188.08	36280.027	477011.25	45437.098	-5704318000000.0	3.1409982e+27	89664.77123832703
75	0.019607844	0.13864839	1.0	0.0	0.0	0.0	0.0	0.0	294.13727	300.0	1124999	54596950000000.0	31676870000000.0	203937510000000.0	66202984.0	6028437000000.0	6630380000000.0	48261540000000.0	189176510.0	184848.17	37524.5	459675.88	60754.28	-6376387500000.0	3.184908e+27	90641.30272293091
76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	300.0	1139999	54561587000000.0	31711377000000.0	203934170000000.0	78716380.0	6093278300000.0	6613012000000.0	48223700000000.0	214621620.0	184178.31	39994.35	958530.3	57457.914	-6422100700000.0	3.1801254e+27	91619.97762393951
77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	300.0	1154999	54509397000000.0	31710890000000.0	203930350000000.0	85780904.0	6252200500000.0	6596474700000.0	48192637000000.0	246343170.0	210324.2	49858.723	600402.7	26407.459	-6602532300000.0	3.15982e+27	92598.19375061989
78	0.019607844	0.13864839	1.0	0.0	0.0	0.0	0.0	0.0	294.13727	300.0	1169999	54834976000000.0	31526994000000.0	203927750000000.0	91922840.0	6301265000000.0	6539472500000.0	48162006000000.0	282874850.0	272292.3	62120.695	655926.75	35313.24	-6650535000000.0	3.1802393e+27	93574.1930129528
79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	300.0	1184999	56624290000000.0	30159332000000.0	203923080000000.0	96800780.0	6393839000000.0	6413226000000.0	48134660000000.0	307778880.0	209794.2	41803.66	611036.8	41371.246	-6271957700000.0	3.2987808e+27	94543.65608119965
80	0.03846154	0.19230768	1.0	0.0	0.0	0.0	0.0	0.0	288.5	300.0	1199999	56245520000000.0	30377375000000.0	203918340000000.0	3657484300.0	6079629500000.0	6445612400000.0	48106146000000.0	293348480.0	187308.2	34926.574	556705.7	66896.01	-4491294000000.0	3.43752e+27	95496.02419519424
81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	300.0	1214999	55004540000000.0	31273716000000.0	203916630000000.0	3564319200.0	5882155400000.0	6489994000000.0	48075704000000.0	307962080.0	256904.56	61213.03	3079009.8	36439.797	-5415272000000.0	3.238628e+27	96571.66847586632
82	0.019607844	0.13864839	1.0	0.0	0.1	0.29999998	1.0	0.0	294.13727	270.1	1229999	54991880000000.0	31213110000000.0	203913140000000.0	3520525000.0	5917366000000.0	6436615600000.0	48051004000000.0	335703420.0	293693.34	55072.03	1169351.4	74052.43	-5417225700000.0	3.2335858e+27	97678.37819457054
83	0.03846154	0.19230768	1.0	0.0	0.0	0.0	0.0	0.0	288.5	300.0	1244999	55684247000000.0	30828357000000.0	203909440000000.0	3473069300.0	6271007700000.0	6189545000000.0	43067344000000.0	1116151900.0	250652.72	54202.47	1379526.6	68722.48	-5658781000000.0	3.2757964e+27	98790.77464747429
84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	300.0	1259999	55312670000000.0	30872527000000.0	203905990000000.0	3116142000.0	6562538600000.0	6090831400000.0	39978243000000.0	1174794600.0	253178.94	62503.95	1017545.06	77187.47	-6433145400000.0	3.1797202e+27	99761.96236753464
85	0.10714286	0.3092948	1.0	0.0	0.0	0.0	0.0	0.0	264.89285	300.0	1274999	54688494000000.0	30979964000000.0	203903200000000.0	2898545200.0	6777270700000.0	6079612700000.0	39870257000000.0	1321576300.0	389125.62	108864.88	1277201.0	73737.45	-6711601000000.0	3.1042615e+27	100737.41364359856
