Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
40	0.01986755	0.13954508	1.0	0.0	0.0	0.0	0.0	0.0	98.42384	70.4	599999	15.500745	7.1644235	21.598146	-1.3683968	15.500754	7.1643367	20.363155	-0.91424716	-16.060778	0.2105968	61915.685874700546
41	0.028846154	0.16737399	1.0	0.0	0.1	0.29999998	1.0	0.0	144.33653	85.5	614999	15.68496	6.912104	21.308266	-0.9180114	15.684964	6.9119782	20.59479	-0.8301939	-16.19397	0.19104512	63049.84782719612
42	0.05882353	0.23529415	1.0	0.0	0.0	0.0	0.0	0.0	147.29411	93.9	629999	15.767713	7.240298	20.689373	-0.78200114	15.767718	7.240175	20.57352	-0.6983124	-16.165287	0.18318863	64216.72692966461
43	0.01724138	0.13016956	1.0	0.0	0.0	0.0	0.0	0.0	130.02586	161.1	644999	15.721901	7.3161182	20.500862	-1.054471	15.721886	7.3159084	20.465626	-0.48398292	-16.02912	0.19569965	65454.38317203522
44	0.016528925	0.12749794	1.0	0.0	0.1	0.29999998	1.0	0.0	122.3719	167.1	659999	15.662157	7.4681287	20.545359	-1.1975427	15.662154	7.467693	20.49256	-1.2764978	-15.863803	0.20287809	66739.58806300163
45	0.08783784	0.2830589	1.0	0.0	0.1	0.29999998	1.0	0.0	102.60135	118.2	674999	15.758085	7.542172	20.461449	-1.172061	15.758119	7.5421104	20.957527	-1.4829353	-15.887465	0.19506295	68040.79035902023
46	0.043715846	0.20446217	1.0	0.0	0.1	0.29999998	1.0	0.0	82.12022	102.2	689999	15.8855915	7.4897695	20.63119	-1.8730733	15.885591	7.4899454	20.327457	-1.786035	-16.004154	0.19452327	69456.00385832787
47	0.071428575	0.25753936	1.0	0.0	0.0	0.0	0.0	0.0	89.184525	177.8	704999	15.84742	7.456046	20.624035	-2.261155	15.847415	7.4562364	20.38421	-1.9049399	-15.98329	0.20751841	70855.88901758194
48	0.07189543	0.25831467	1.0	0.0	0.0	0.0	0.0	0.0	97.46405	198.6	719999	15.92005	7.2866306	20.815798	-2.6387196	15.920006	7.286936	20.785995	-1.5852538	-16.090427	0.23968129	72180.11570572853
49	0.04901961	0.21590893	1.0	0.0	0.2	0.4	1.0	0.0	146.50981	210.2	734999	15.868352	7.2296443	21.235794	-3.6581476	15.868343	7.2298236	21.543749	-2.640564	-16.057648	0.25486776	73426.20739626884
50	0.083333336	0.2763854	1.0	0.0	0.0	0.0	0.0	0.0	139.22223	208.3	749999	15.922282	7.130711	21.769907	-6.1170864	15.922257	7.131015	21.898947	-3.0235558	-16.111206	0.2683992	74694.53750920296
51	0.09016393	0.28641647	1.0	0.0	0.1	0.29999998	1.0	0.0	123.672134	169.8	764999	15.892704	7.0458584	20.797762	-5.8355336	15.892706	7.0460463	20.81267	-3.2935386	-16.096336	0.2882623	75966.9423148632
52	0.11111111	0.31426963	1.0	0.0	0.0	0.0	0.0	0.0	118.888885	188.8	779999	15.682641	7.146178	21.225859	-6.0131536	15.682608	7.146445	21.025763	-4.416612	-15.90996	0.33746976	77239.48411560059
53	0.17699115	0.3816612	1.0	0.0	0.2	0.4	1.0	0.0	130.84956	185.8	794999	15.570865	7.211781	20.96572	-6.3000965	15.57084	7.2121983	20.823145	-4.4316287	-15.798829	0.36274493	78489.14260554314
54	0.16964285	0.37531874	1.0	0.0	0.1	0.29999998	1.0	0.0	133.9375	153.9	809999	15.490781	7.128802	21.247925	-5.9979024	15.490796	7.129257	21.3878	-3.9705486	-15.7322645	0.39376828	79868.53276228905
