Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
34	0.88907284	0.3140419	1.0	0.0	0.8	0.4	1.0	0.0	24.798014	25.8	509999	21.11434	7.511855	34.123333	-11.7043705	21.114471	7.5084424	34.048172	-12.350678	-1.8639164	1.3340495	7.22039	-12.338545	-21.305275	8.56846	5083.973656177521
35	0.8802083	0.32471776	1.0	0.0	0.7	0.45825756	1.0	0.0	26.069445	31.4	524999	20.98038	7.460501	33.324104	-9.39623	20.980494	7.456208	33.936203	-13.448811	-1.8408579	1.3506454	7.651	-13.915007	-21.159996	8.8659725	5233.634520769119
36	0.89850247	0.30198637	1.0	0.0	0.9	0.29999998	1.0	0.0	24.928453	23.5	539999	20.892359	7.4126463	34.602406	-9.940958	20.892406	7.408584	33.978394	-11.74	-1.8217049	1.3549905	7.594061	-12.439114	-21.063517	9.088072	5383.584426641464
37	0.9049128	0.2933353	1.0	0.0	1.0	0.0	1.0	1.0	23.80824	16.1	554999	20.801014	7.361166	33.373135	-11.578317	20.801071	7.356937	34.129414	-13.748164	-1.8111014	1.3681444	7.526073	-12.779051	-20.964188	9.326831	5533.454466581345
38	0.89903843	0.3012778	1.0	0.0	0.8	0.4	1.0	0.0	24.022436	22.1	569999	20.8234	7.3145437	35.338272	-13.463577	20.823221	7.3100166	34.401768	-12.209516	-1.7918863	1.384259	7.5467134	-13.924021	-20.984127	9.491277	5683.825453042984
39	0.9183673	0.27380428	1.0	0.0	0.9	0.29999998	1.0	0.0	23.554161	18.9	584999	20.777033	7.2837763	34.535145	-10.925086	20.777124	7.2796164	33.56843	-10.446671	-1.7820274	1.3840955	7.313272	-12.38638	-20.9319	9.600129	5833.709707260132
40	0.9039088	0.29471627	1.0	0.0	1.0	0.0	1.0	1.0	24.43811	14.7	599999	20.790462	7.302983	33.553642	-12.408301	20.790472	7.2990904	33.36889	-12.605735	-1.7586503	1.3979435	7.034339	-12.643834	-20.940996	9.838232	5983.586409568787
41	0.93636364	0.24410403	1.0	0.0	0.7	0.45825756	1.0	0.0	22.728788	24.5	614999	20.750854	7.247795	33.596554	-12.340488	20.75084	7.2440405	33.557095	-11.747858	-1.7540221	1.4019327	8.026003	-13.362757	-20.898594	9.7931	6133.8872447013855
42	0.9423077	0.23316069	1.0	0.0	1.0	0.0	1.0	1.0	22.180473	15.3	629999	20.685398	7.1986446	33.885117	-12.166925	20.685402	7.1952114	33.737896	-9.948067	-1.7564483	1.402251	7.5076113	-12.641932	-20.828348	10.019841	6283.957265138626
43	0.9286798	0.2573589	1.0	0.0	1.0	0.0	1.0	1.0	22.763277	19.0	644999	20.692286	7.209782	34.437973	-12.347308	20.692131	7.207051	34.31861	-11.046647	-1.7194871	1.4238611	7.9626274	-13.256098	-20.833912	10.197119	6434.111500263214
44	0.9306785	0.2540001	1.0	0.0	0.9	0.29999998	1.0	0.0	22.123894	19.2	659999	20.743273	7.2209506	35.294796	-11.794066	20.743095	7.21739	33.765476	-12.464698	-1.7089787	1.4292315	8.44591	-12.547453	-20.881014	10.376818	6584.168517827988
45	0.93274856	0.250457	1.0	0.0	1.0	0.0	1.0	1.0	21.937134	14.9	674999	20.70804	7.198755	35.087593	-12.067866	20.707973	7.1952043	33.818607	-12.437875	-1.7198037	1.4175745	8.035952	-12.620937	-20.841412	10.328085	6734.121674537659
46	0.9301242	0.25493753	1.0	0.0	1.0	0.0	1.0	1.0	23.23292	11.9	689999	20.606321	7.1774755	35.51301	-12.743218	20.606256	7.1740007	34.120342	-13.771233	-1.724588	1.4227124	8.00617	-12.719147	-20.736557	10.347331	6884.215511083603
47	0.95652175	0.20393112	1.0	0.0	0.7	0.45825756	1.0	0.0	21.756521	25.8	704999	20.593637	7.1948447	33.318916	-12.351501	20.59365	7.19127	37.13746	-13.785474	-1.7189133	1.4241172	8.330194	-12.847061	-20.721344	10.5199795	7034.441593170166
48	0.93528503	0.24602218	1.0	0.0	0.9	0.29999998	1.0	0.0	23.118645	17.2	719999	20.478874	7.1316795	34.965473	-12.228955	20.478756	7.1283035	34.03126	-15.262634	-1.7220997	1.4350672	8.319511	-16.31255	-20.598362	10.619544	7184.376349925995
49	0.91908395	0.27270612	1.0	0.0	0.8	0.4	1.0	0.0	22.900763	21.0	734999	20.464905	7.13025	34.0996	-14.638582	20.464815	7.127367	35.39785	-15.423272	-1.7159702	1.4350818	7.284624	-12.926851	-20.583647	10.597653	7334.370842218399
50	0.9359756	0.2447964	1.0	0.0	0.7	0.45825756	1.0	0.0	22.849085	22.8	749999	20.468113	7.149704	33.683838	-14.548507	20.467884	7.1470284	34.73731	-13.733025	-1.7094676	1.438315	8.736587	-12.832791	-20.58291	10.635446	7484.562303066254
51	0.93990755	0.23765804	1.0	0.0	1.0	0.0	1.0	1.0	23.161787	15.2	764999	20.482733	7.1572633	33.785435	-25.843002	20.48264	7.1547647	35.102203	-18.55444	-1.7079222	1.4349473	8.957031	-13.168805	-20.59582	10.689867	7634.36660194397
52	0.9443631	0.22921917	1.0	0.0	1.0	0.0	1.0	1.0	21.923864	15.4	779999	20.445766	7.2030945	33.19504	-19.827261	20.445597	7.2004147	37.131714	-22.70504	-1.7009164	1.4395849	10.848415	-13.828439	-20.560333	10.803398	7784.0896508693695
53	0.94333845	0.2311948	1.0	0.0	1.0	0.0	1.0	1.0	22.993874	13.4	794999	20.469337	7.2082734	36.207397	-26.228668	20.469248	7.206144	34.860123	-25.206854	-1.6809299	1.4522539	8.638807	-14.457958	-20.580492	10.856521	7933.739742040634
