epoch	test_success_rate	ep_return	test_ep_return	ep_length	test_ep_length	total_timesteps	loss_pi	loss_q	time_elapsed	iteration_time
92	0.2	-0.8205405	-0.81700003	28.918919	22.7	91999	-0.3090005	0.014353664	6726.99573398	0.051808298
93	0.0	-0.65157896	-1.0	50.05263	100.0	92999	-0.2808991	0.009549655	6811.00510216	0.052351058
94	0.0	-0.95500004	-1.0	95.5	100.0	93999	-0.24426694	0.008785778	6894.43524694	0.05060038
95	0.0	-1.0	-1.0	100.0	100.0	94999	-0.21776068	0.00799594	6968.39839101	0.048048705
96	0.0	-1.0	-1.0	100.0	100.0	95999	-0.192733	0.007925355	7043.79287696	0.045628794
97	0.8	0.123000026	0.432	35.1	17.8	96999	-0.17516121	0.008378375	7100.48575902	0.050168786
98	0.7	-0.09575756	0.34800005	31.666666	35.9	97999	-0.1742868	0.008165943	7165.14406013	0.052975755
99	0.5	-0.15619047	-0.062999986	44.857143	56.8	98999	-0.15440571	0.009102359	7228.60751915	0.047877103
100	0.9	-0.36068186	0.735	23.386364	7.5	99999	-0.13943118	0.0102999555	7279.61954212	0.04869994
101	0.2	-0.1723077	-0.71700007	37.192307	12.7	100999	-0.1353973	0.0103554055	7330.55992508	0.046786293
102	0.2	-0.49947366	-0.886	55.789474	39.5	101999	-0.13933495	0.010662123	7393.01003695	0.049859677
103	0.5	-0.18666665	-0.018999983	32.933334	52.4	102999	-0.14191721	0.010852533	7456.06626415	0.048753906
104	0.4	-0.07555554	-0.422	27.86111	43.0	103999	-0.13472046	0.010960418	7515.33023	0.047477577
105	0.5	-0.15078944	-0.124	26.394737	33.2	104999	-0.14454749	0.011825384	7573.93431497	0.04888681
106	0.3	-0.34803572	-0.48000002	17.875	9.0	105999	-0.19121051	0.01411964	7626.45153499	0.049392775
107	0.2	-0.49241382	-0.612	32.86207	81.4	106999	-0.25718847	0.015442324	7694.61770701	0.046469748
108	0.2	-0.29395834	-0.849	21.979166	25.9	107999	-0.3187535	0.016438514	7751.72807407	0.04888254
109	0.0	-0.4633333	-1.0	60.2	100.0	108999	-0.3669356	0.018416168	7836.03708601	0.050766435
110	0.0	-0.99799997	-1.0	99.8	100.0	109999	-0.4123011	0.016024387	7925.68933415	0.053253002
111	0.0	-1.0	-1.0	100.0	100.0	110999	-0.3812613	0.014285431	8011.36908412	0.053412013
112	0.3	-1.005	-0.42399997	84.0	13.3	111999	-0.3257561	0.014624602	8064.92068815	0.04954435
113	0.6	-0.45619047	0.16199999	50.904762	34.5	112999	-0.2688058	0.015088261	8125.35223317	0.049171492
114	0.5	-0.51629627	-0.24599996	37.555557	35.5	113999	-0.20353134	0.014146122	8181.53010702	0.046849534
